Timestamp,Total People Entered,Total Customers,Total Visitors,Queue Count,Shelf Count,Current Customers,Current Visitor,Shelf 1,Shelf 2,Shelf 3,Shelf 4
2024-11-02 14:45:55,7,6,2,4,0,4,1,0,0,0,1
2024-11-02 14:46:05,8,7,3,2,0,2,1,0,0,0,1
2024-11-02 14:46:15,9,7,5,3,0,3,1,0,0,1,0
2024-11-02 14:46:26,9,7,5,3,0,3,0,0,0,0,0
2024-11-02 14:46:36,10,8,5,3,0,3,1,0,0,1,0
2024-11-02 14:46:47,13,9,8,3,1,3,4,1,1,0,2
2024-11-02 14:46:57,14,10,8,4,1,4,4,1,1,1,1
2024-11-02 14:47:08,18,12,10,3,1,3,4,1,2,0,1
2024-11-02 14:47:18,18,12,10,3,0,3,2,0,2,0,0
2024-11-02 14:47:29,19,13,10,6,0,6,2,0,1,0,1
2024-11-02 14:47:39,20,14,10,5,0,5,0,0,0,0,0
2024-11-02 14:47:50,22,16,10,5,0,5,1,0,0,0,1
2024-11-02 14:48:00,26,19,11,6,1,6,2,1,0,0,1
2024-11-02 14:48:10,26,20,11,7,1,7,2,1,0,0,1
2024-11-02 14:48:20,26,20,11,5,1,5,2,1,0,0,1
2024-11-02 14:48:30,26,20,11,7,0,7,1,0,0,0,1
2024-11-02 14:48:41,28,20,13,5,2,5,4,2,0,1,1
2024-11-02 14:48:51,32,23,15,6,1,6,3,1,0,2,0
2024-11-02 14:49:01,32,23,16,5,1,5,4,1,1,2,0
2024-11-02 14:49:11,32,23,16,5,1,5,3,1,1,1,0
2024-11-02 14:49:21,33,24,16,3,1,3,2,1,0,1,0
2024-11-02 14:49:31,36,26,18,4,0,4,2,0,0,1,1
2024-11-02 14:49:42,41,27,23,5,0,5,6,0,0,3,3
2024-11-02 14:49:52,43,28,24,6,0,6,3,0,0,2,1
2024-11-02 14:50:03,44,28,25,5,0,5,1,0,0,1,0
2024-11-02 14:50:13,44,28,27,6,0,6,4,0,0,3,1
2024-11-02 14:50:23,48,30,30,5,0,5,4,0,0,4,0
2024-11-02 14:50:34,53,33,33,5,1,5,6,1,1,3,1
2024-11-02 14:50:44,56,36,34,6,1,6,6,1,0,5,0
2024-11-02 14:50:54,56,37,34,5,1,5,5,1,0,4,0
2024-11-02 14:51:05,56,37,35,5,1,5,4,1,0,1,2
2024-11-02 14:51:15,56,37,35,4,1,4,1,1,0,0,0
2024-11-02 14:51:25,59,39,36,5,1,5,1,1,0,0,0
